No.;Date;Sample;Class A;Class B;Class C;Class D;Total
1;2 Januari 2022;7868;200;0;0;0;200
2;3 Januari 2022;4528;150;0;0;50;200
3;4 Januari 2022;4136;300;50;50;0;400
4;5 Januari 2022;4284;150;100;150;0;400
5;6 Januari 2022;8300;0;200;150;0;350
6;7 Januari 2022;3048;50;400;0;0;450
7;9 Januari 2022;6588;100;0;0;0;100
8;10 Januari 2022;7984;150;50;100;0;300
9;11 Januari 2022;5596;100;150;0;150;400
10;12 Januari 2022;12404;150;100;0;50;300
11;14 Januari 2022;3612;50;0;0;0;50
12;16 Januari 2022;5020;0;100;0;0;100
13;17 Januari 2022;4404;0;200;0;0;200
14;18 Januari 2022;6708;50;0;0;0;50
15;19 Januari 2022;7692;50;0;0;0;50
16;20 Januari 2022;6980;450;0;0;0;450
17;21 Januari 2022;6092;100;0;0;0;100
18;22 Januari 2022;11552;0;50;0;0;50
19;23 Januari 2022;8992;50;0;0;0;50
20;24 Januari 2022;5692;250;50;0;150;450
21;25 Januari 2022;1760;150;0;0;0;150
22;26 Januari 2022;1800;100;50;0;0;150
23;27 Januari 2022;13784;50;50;0;50;150
24;28 Januari 2022;12908;50;50;0;0;100
25;29 Januari 2022;14792;0;50;0;0;50
26;30 Januari 2022;11172;50;0;0;0;50
27;2 Februari 2022;7720;0;50;0;50;100
28;4 Februari 2022;7092;50;0;0;0;50
29;17 Februari 2022;7444;50;0;0;0;50
30;18 Februari 2022;8686;50;0;0;0;50
31;20 Februari 2022;7816;200;0;0;0;200
32;21 Februari 2022;10736;100;0;0;0;100
33;22 Februari 2022;10360;250;0;0;0;250
34;23 Februari 2022;10004;200;0;0;0;200
35;24 Februari 2022;8772;450;0;0;0;450
36;25 Februari 2022;9120;200;0;0;0;200
37;27 Februari 2022;9052;150;0;150;0;300
38;2 Maret 2022;4600;350;0;0;0;350
39;3 Maret 2022;2080;150;0;50;0;200
40;4 Maret 2022;1860;200;0;50;0;250
41;6 Maret 2022;2140;150;0;0;0;150
42;7 Maret 2022;7232;150;0;0;0;150
43;8 Maret 2022;5472;100;0;0;0;100
44;9 Maret 2022;5728;50;0;50;0;100
45;13 Maret 2022;3416;300;0;0;0;300
46;14 Maret 2022;3624;50;0;0;0;50
47;15 Maret 2022;9172;200;0;0;0;200
48;17 Maret 2022;10012;350;50;0;0;400
49;18 Maret 2022;22348;200;0;0;0;200
50;21 Maret 2022;26620;200;0;100;0;300
51;22 Maret 2022;23964;200;0;0;0;200
52;23 Maret 2022;2081;50;150;0;0;200
53;24 Maret 2022;2040;50;0;0;0;50
54;25 Maret 2022;2040;100;250;50;0;400
55;27 Maret 2022;1740;0;0;100;200;300
56;28 Maret 2022;6848;100;0;100;0;200
57;29 Maret 2022;5600;150;0;300;0;450
58;30 Maret 2022;6096;0;0;300;0;300
59;31 Maret 2022;780;50;0;0;0;50
60;01-Apr-22;1800;0;50;200;0;250
61;02-Apr-22;2040;150;0;0;0;150
62;04-Apr-22;6256;400;0;0;0;400
63;05-Apr-22;6112;50;200;0;0;250
64;06-Apr-22;5188;150;0;0;0;150
65;07-Apr-22;4232;700;50;0;0;750
66;08-Apr-22;5724;350;0;0;0;350
67;09-Apr-22;4368;0;100;0;0;100
